Aug 14 2023,id,fullName,country,age,rating2,rating1,KDDiff,maps,rounds,kills,deaths,KDRatio,HSRatio,adr,ratingTop20,ratingYear,clutchesTotal,teams,majorsWon,majorsPlayed,LANsWon,LANsPlayed,MVPs,top20s,top10s,topPlacement
Friis,7,Michael Jørgensen,Denmark,34,N/A,1.01,747,938,24254,16356,15609,1.05,26.3,69.4,0.95,"{""2012"":0.95,""2013"":1.01,""2014"":1.01,""2015"":1.01,""2016"":0.98,""2017"":1.06,""2018"":1.02}",306,"[""7743/OPAA"",""8944/Memorable"",""8490/TOXIC"",""8420/meNikmati"",""7998/Gux & Friends"",""4602/Tricked"",""7175/Heroic"",""7059/X"",""6137/SK"",""4742/Nostalgie"",""4548/CPH Wolves"",""4593/CPLAY"",""5758/myXMG"",""5737/unu.AiN"",""5208/Reason"",""5831/Isak"",""5449/NO SIR!"",""4623/fnatic""]",0,2,0,28,0,0,0,N/A
f0rest,29,Patrik Lindberg,Sweden,35,N/A,1.1,5649,2106,54781,41297,35648,1.16,51.9,76.3,1.06,"{""2012"":1.38,""2013"":1.28,""2014"":1.14,""2015"":1.09,""2016"":1.09,""2017"":1.05,""2018"":1.04,""2019"":1.07,""2020"":1.05,""2021"":1.06,""2022"":0.98}",630,"[""4991/fnatic"",""12135/boomer demons"",""5133/Sweden"",""11984/ex-Finest"",""11937/NEO's Team"",""5422/Dignitas"",""4411/Ninjas in Pyjamas"",""9190/Team West"",""6134/Kinguin"",""4857/All-Stars Europe"",""5586/GO4Serbia""]",1,12,23,105,8,4,3,2
GeT_RiGhT,39,Christopher Alesund,Sweden,33,N/A,1.09,4269,1749,45122,33312,29043,1.15,49.3,76.5,1.04,"{""2012"":1.47,""2013"":1.33,""2014"":1.15,""2015"":1.1,""2016"":1.09,""2017"":1.01,""2018"":0.94,""2019"":0.88,""2020"":0.96,""2021"":0.93,""2022"":0.68}",610,"[""11407/Team GeT_RiGhT"",""12135/boomer demons"",""5133/Sweden"",""9735/Lilmix"",""5422/Dignitas"",""10495/FACEIT Level Tenz"",""4494/MOUZ"",""4411/Ninjas in Pyjamas"",""10149/Team ROTW"",""9956/Western Titans"",""9190/Team West"",""6901/Europe All-Stars"",""6578/Play It Cool All-Stars"",""6134/Kinguin"",""5828/Jynttä"",""4857/All-Stars Europe"",""5585/GO4Balkan""]",1,12,23,99,10,4,2,1
pronax,41,Markus Wallsten,Sweden,32,N/A,0.89,-2267,1199,31403,18722,20989,0.89,45.8,64.7,0.83,"{""2012"":0.86,""2013"":0.99,""2014"":0.93,""2015"":0.9,""2016"":0.86,""2017"":0.83,""2018"":0.83}",306,"[""6902/GODSENT"",""6685/Ancient"",""9791/ROG pronax"",""9720/Monopol"",""7823/fightclub"",""7701/Imperial"",""9085/Chaos"",""8721/Enyoy"",""6418/KoN Sweden"",""8533/katjakaj&bentebent"",""8426/Kindest Regards"",""4804/AWTR"",""8301/YOY"",""7378/dreamchasers"",""4606/BX3"",""4991/fnatic"",""5133/Sweden"",""4983/n!faculty"",""4477/Publiclir.se"",""4488/Absolute Legends"",""4806/CAI"",""4776/atrc""]",3,8,13,45,0,0,0,N/A
BARBARR,44,André Möller,Sweden,33,N/A,0.99,-20,876,23180,15776,15796,1,42.7,74.8,1.03,"{""2012"":0.97,""2013"":0.81,""2015"":1.03,""2016"":1.07,""2017"":0.99,""2018"":0.98,""2019"":0.85}",246,"[""10592/Wygers"",""9481/x6tence Galaxy"",""9382/Equals"",""6978/Singularity"",""4688/Epsilon"",""8426/Kindest Regards"",""6832/Iwku"",""6865/Escape"",""6405/Orgless"",""5745/Games4u"",""6675/PixelFire"",""6460/CSGO.one"",""6467/CSGOBESTPOT.com"",""5399/GreyFace"",""5319/Property"",""4804/AWTR"",""5999/ISKOLD"",""4887/Vikings"",""4445/FMESPORTS""]",0,0,0,3,0,0,0,N/A
gob b,136,Fatih Dayik,Germany,36,N/A,0.85,-2839,980,25846,14510,17349,0.84,48.5,66.5,0.85,"{""2012"":0.62,""2013"":0.76,""2014"":0.79,""2015"":0.82,""2016"":0.83,""2017"":0.89,""2018"":0.9,""2019"":0.83,""2022"":0.78}",300,"[""7532/BIG"",""7507/hmm"",""6673/NRG"",""4494/MOUZ"",""5143/Germany"",""4501/ALTERNATE aTTaX"",""4518/zuom""]",0,6,0,34,0,0,0,N/A
SIXER,147,Christophe Xia,France,32,N/A,1.01,1265,1169,30918,20487,19222,1.07,38.4,70,0.92,"{""2013"":0.94,""2014"":0.68,""2016"":0.96,""2017"":0.93,""2018"":0.98,""2019"":1.04,""2020"":1.08,""2021"":1.01}",447,"[""11609/GenOne"",""7674/Ambush"",""11283/Falcons"",""4674/LDLC"",""10586/Avengers"",""9150/LAMIF"",""4914/3DMAX"",""7701/Imperial"",""9211/LeftOut"",""9210/Boys in Blue"",""5991/Envy"",""7856/EnVyUs Academy"",""6626/MINLATE"",""8890/weneeddollars"",""4559/Millenium"",""5142/France"",""4456/Epsilon"",""5054/WARMAKER""]",0,2,1,18,0,0,0,N/A
MAJ3R,150,Engin Küpeli,Turkey,32,N/A,0.95,-820,1237,32591,20826,21646,0.96,48,72.9,0.97,"{""2013"":0.9,""2014"":0.74,""2015"":0.59,""2016"":0.97,""2017"":0.97,""2018"":0.96,""2019"":0.86,""2020"":0.94,""2021"":0.98,""2022"":0.94}",334,"[""11251/Eternal Fire"",""10333/Sangal"",""10144/Turkey5"",""4674/LDLC"",""9572/ex-Space Soldiers"",""5929/Space Soldiers"",""4559/Millenium"",""5106/Turkey"",""4456/Epsilon"",""5054/WARMAKER"",""4615/Imaginary""]",0,2,0,12,0,0,0,N/A
TaZ,161,Wiktor Wojtas,Poland,37,N/A,0.94,-2410,2385,62886,40316,42726,0.94,51.3,67.2,0.95,"{""2012"":1.14,""2013"":1.1,""2014"":1,""2015"":0.99,""2016"":0.98,""2017"":0.89,""2018"":0.94,""2019"":0.89,""2020"":0.83,""2021"":0.83}",702,"[""10737/HONORIS"",""10494/ARCY"",""10020/Aristocracy"",""9862/devils.one"",""6134/Kinguin"",""5378/Virtus.pro"",""5137/Poland"",""5586/GO4Serbia"",""5274/AGAiN"",""4533/UniversalSoldiers"",""5267/Team Thorin"",""4532/ESC"",""4742/Nostalgie""]",1,12,12,82,0,0,0,N/A
NEO,165,Filip Kubski,Poland,36,N/A,0.95,-1558,2037,53165,34508,36066,0.96,37.8,72.1,0.94,"{""2012"":1.12,""2013"":1.06,""2014"":1.02,""2015"":1.02,""2016"":0.95,""2017"":0.92,""2018"":0.86,""2019"":0.86,""2020"":0.87,""2021"":0.87}",669,"[""11937/NEO's Team"",""10737/HONORIS"",""10494/ARCY"",""6667/FaZe"",""7175/Heroic"",""9698/2019"",""5378/Virtus.pro"",""5137/Poland"",""4857/All-Stars Europe"",""5936/kassad's Legends"",""5585/GO4Balkan"",""5274/AGAiN"",""4533/UniversalSoldiers"",""4532/ESC"",""4742/Nostalgie""]",1,14,12,94,2,1,0,17
