Aug 01 2023,id,fullName,country,age,rating2,rating1,KDDiff,maps,rounds,kills,deaths,KDRatio,HSRatio,adr,ratingTop20,ratingYear,clutchesTotal,teams,majorsWon,majorsPlayed,LANsWon,LANsPlayed,MVPs,top20s,top10s,topPlacement
Friis,7,Michael Jørgensen,Denmark,34,N/A,1.01,747,938,24254,16356,15609,1.05,26.3,69.4,0.95,"{""2012"":0.95,""2013"":1.01,""2014"":1.01,""2015"":1.01,""2016"":0.98,""2017"":1.06,""2018"":1.02}",306,"[""4602/Tricked"",""7175/Heroic"",""7059/X"",""6137/SK"",""4548/CPH Wolves"",""5758/myXMG"",""4623/fnatic""]",0,2,0,28,0,0,0,N/A
f0rest,29,Patrik Lindberg,Sweden,35,N/A,1.1,5649,2106,54781,41297,35648,1.16,51.9,76.3,1.06,"{""2012"":1.38,""2013"":1.28,""2014"":1.14,""2015"":1.09,""2016"":1.09,""2017"":1.05,""2018"":1.04,""2019"":1.07,""2020"":1.05,""2021"":1.06,""2022"":0.98}",630,"[""5422/Dignitas"",""4411/Ninjas in Pyjamas""]",1,12,23,105,8,4,3,2
GeT_RiGhT,39,Christopher Alesund,Sweden,33,N/A,1.09,4269,1749,45122,33312,29043,1.15,49.3,76.5,1.04,"{""2012"":1.47,""2013"":1.33,""2014"":1.15,""2015"":1.1,""2016"":1.09,""2017"":1.01,""2018"":0.94,""2019"":0.88,""2020"":0.96,""2021"":0.93,""2022"":0.68}",610,"[""5422/Dignitas"",""4411/Ninjas in Pyjamas""]",1,12,23,99,10,4,2,1
pronax,41,Markus Wallsten,Sweden,32,N/A,0.89,-2267,1199,31403,18722,20989,0.89,45.8,64.7,0.83,"{""2012"":0.86,""2013"":0.99,""2014"":0.93,""2015"":0.9,""2016"":0.86,""2017"":0.83,""2018"":0.83}",306,"[""9085/Chaos"",""8721/Enyoy"",""6902/GODSENT"",""6685/Ancient"",""4991/fnatic"",""4983/n!faculty"",""4488/Absolute Legends""]",3,8,13,45,0,0,0,N/A
BARBARR,44,André Möller,Sweden,33,N/A,0.99,-20,876,23180,15776,15796,1,42.7,74.8,1.03,"{""2012"":0.97,""2013"":0.81,""2015"":1.03,""2016"":1.07,""2017"":0.99,""2018"":0.98,""2019"":0.85}",246,"[""9481/x6tence Galaxy"",""6978/Singularity"",""4688/Epsilon"",""6865/Escape"",""6405/Orgless"",""5399/GreyFace""]",0,0,0,3,0,0,0,N/A
gob b,136,Fatih Dayik,Germany,36,N/A,0.85,-2839,980,25846,14510,17349,0.84,48.5,66.5,0.85,"{""2012"":0.62,""2013"":0.76,""2014"":0.79,""2015"":0.82,""2016"":0.83,""2017"":0.89,""2018"":0.9,""2019"":0.83,""2022"":0.78}",300,"[""7532/BIG"",""6673/NRG"",""4494/MOUZ"",""4501/ALTERNATE aTTaX""]",0,6,0,34,0,0,0,N/A
SIXER,147,Christophe Xia,France,32,N/A,1.01,1265,1169,30918,20487,19222,1.07,38.4,70,0.92,"{""2013"":0.94,""2014"":0.68,""2016"":0.96,""2017"":0.93,""2018"":0.98,""2019"":1.04,""2020"":1.08,""2021"":1.01}",447,"[""11609/GenOne"",""7674/Ambush"",""4674/LDLC"",""7856/EnVyUs Academy"",""5991/Envy"",""4559/Millenium""]",0,2,1,18,0,0,0,N/A
MAJ3R,150,Engin Küpeli,Turkey,32,N/A,0.95,-778,1221,32179,20598,21376,0.96,48,73,0.98,"{""2013"":0.9,""2014"":0.74,""2015"":0.59,""2016"":0.97,""2017"":0.97,""2018"":0.96,""2019"":0.86,""2020"":0.94,""2021"":0.98,""2022"":0.94}",332,"[""11251/Eternal Fire"",""10333/Sangal"",""4674/LDLC"",""9572/ex-Space Soldiers"",""5929/Space Soldiers"",""4559/Millenium"",""4615/Imaginary""]",0,2,0,12,0,0,0,N/A
TaZ,161,Wiktor Wojtas,Poland,37,N/A,0.94,-2410,2385,62886,40316,42726,0.94,51.3,67.2,0.95,"{""2012"":1.14,""2013"":1.1,""2014"":1,""2015"":0.99,""2016"":0.98,""2017"":0.89,""2018"":0.94,""2019"":0.89,""2020"":0.83,""2021"":0.83}",702,"[""10737/HONORIS"",""10494/ARCY"",""10020/Aristocracy"",""9862/devils.one"",""6134/Kinguin"",""5378/Virtus.pro"",""4533/UniversalSoldiers"",""4532/ESC""]",1,12,12,82,0,0,0,N/A
NEO,165,Filip Kubski,Poland,36,N/A,0.95,-1558,2037,53165,34508,36066,0.96,37.8,72.1,0.94,"{""2012"":1.12,""2013"":1.06,""2014"":1.02,""2015"":1.02,""2016"":0.95,""2017"":0.92,""2018"":0.86,""2019"":0.86,""2020"":0.87,""2021"":0.87}",669,"[""10737/HONORIS"",""10494/ARCY"",""6667/FaZe"",""5378/Virtus.pro"",""4533/UniversalSoldiers"",""4532/ESC""]",1,14,12,94,2,1,0,17
